电影名,评分,短评数量,评论1,评论2,评论3,评论4,评论5,排名
肖申克的救赎,9.7,1897620,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。,策划了19年的私奔……
小偷家族,8.7,545654,或是被第三者插足，或是不受父母待见，或是被辞退，或是父母根本不想把Ta生下来……这群被抛弃的人们，却共同组成了最温馨、最和睦、最融洽、最可爱的家庭。他们或是失业，或是工伤，或是以偷窃维持生计，或是在风俗店工作，他们生活在社会的最底层，他们缺少物质财富，精神生活却无比充实。他们每个人之间都没有血缘关系，但每个人都比原来的家庭过得更加快乐。结婚不意味着幸福，被丈夫抛弃也能子孙满堂；生了孩子不一定就是母亲，没有生育能力也可以给予母爱。柴田治以为什么都教不了孩子，却教会了他什么叫青春期。亚纪远离了富有的家庭，因为4号先生的肩膀更让她感到温暖。由里遭到亲生父母虐待，却有一位素不相识的人愿意以失去工作的代价保护她。富有富的活法，穷有穷的活法。我们在丰衣足食中颓废度日，他们在贫困交加中感受大爱无疆。,那些说是枝一直致敬小津的人可以歇歇了。这次他拍了部让小津最深恶痛绝的今村昌平式的蛆虫电影。在瓦解冷漠虚伪的传统家庭概念的同时，他呈现了萍水相逢的蛆虫之间可以有怎样真挚动情的爱。一部以弱者的温和善意与牺牲精神挑战人类道德伦理制度上限的无政府理想主义之作。,最费力的成长留在树上的只有壳，最狰狞的伤口留在皮肤的只有疤。最动人的烟火绽在空中看不到，最深沉的感谢飘进风中听不清。你教我食物最美味的吃法，却教我获得食物最羞耻的手法；我学会祈祷最灵验的手势，也学会用来祈祷最不齿的心愿。我在商店里偷换掉童年，你在泥土里掩埋了伤疤，而我们组成了家。,安藤樱那场在警察局双手不停抹眼泪的戏，演技大爆炸，可以说是年度最佳哭戏！,如果说爱你，还打你，那一定是说谎；如果爱你，就会像安藤樱一样紧紧抱住你。（沉溺于安藤樱的美色无法自拔
虎口脱险,8.9,160578,法国喜剧展。终于在大银幕上领略了这部经典喜剧的风采，其实称得上是战争意淫剧的始祖，只不过咱们中国的《举起手来》学的太低劣，人家很高级罢了。里面的剧情bug很多，但是笑点设计的很高级，过去几十年仍能给人们带来欢乐，这就是经典喜剧的魅力。菲耐斯真的是喜剧天才，他的名字值得被更多人记住,虽然不合理，但能够娱乐。,永远看不腻的喜剧！,"看过不下20遍,从小到大都喜欢的电影",永远看不腻的喜剧
阿飞正传,8.5,337835,总有一些人以为自己是鸟。,梁朝伟在阿飞正传中的登场令人匪夷所思.这也使得王家卫超越了一般的闷骚.（180630影院国语）,在张国荣面前所有的大牌都黯然失色,杜琪峰曾说，王家卫实际上只拍了这一部电影：后来影片中的人物都能在其中找到原型，而主题永远是人与人之间的沟通——疏离与亲近，拒绝与接纳，追求与失落，忘却与铭记，逃离故土与寻找自由。,物是人非，你是否还记得那一秒，你到底最爱哪一个。刘德华在张国荣面前暗淡无光。
荒蛮故事,8.8,275000,年度撕逼大戏，颁奖季最好也最好看的外语片之一。丛林心态下，所有的人都是animal，所有的故事都是蛮荒故事。精彩翻转，虽癫狂，细思却并不意外，生活实际的样子，远比这荒谬得多。某种意义上，<消失的爱人>是喜剧，<蛮荒故事>却是悲剧。因为前者是刻意的虚无，后者是真实残酷的白描。,“跟你做的比起来，我那做的都不算什么”魔性十足，荒诞满分。每个人都有过一闪而过的犯罪念头，这部片子把我们没敢做出来的那部分呈现出来，狠狠戳中我们的软肋。这个世界总是如此厌倦又可笑。“没人不希望恶有恶报，但又没人愿意脏了自己的手。”,客机坠毁背后有何惊天秘密？厨娘为何对顾客起了杀机？荒郊野外两车爆炸烧焦尸体怎会纠缠一起？爆破工程师炸毁拖车公司是有预谋还是耍脾气？顶包案背后是何种金钱利益？新郎新娘婚礼现场反目成仇与神秘女子又有何关系？请收看人间自保指南：《别刻薄别冲动别装逼别较真别贪婪别约炮》,这是迄今为止天蝎座人士在银幕上最大规模的集体展现。,《恨我的人都去死吧》《姑娘，让我喂你的仇人老鼠药吧》《古有泼妇骂街，今有壮士斗街》《该死的收费站，炸裂》《黑吃黑谈判》《相爱相杀的婚礼直播》，喜欢第一个，第三个，第六个。
一次别离,8.7,187997,不知道怎么描述。大概这就是无感,4.5。一次即永恒！①着意隐去匠气，还故事以挚诚本真，唯象征私隐于后。②一席黑头巾掠过楼道、车流。③隐匿于镜头外的西方理想国。④你怎么敢看着我的眼睛撒谎！⑤古兰经的存在一度置瑞茨于人性罪责和信仰之间，如替老人洗澡、告白真相等。⑥玻璃门之隔。,一个教育女儿坚持写正确答案，哪怕为此开罪老师（权威），哪怕为此失去分数和成绩（利益）的男人，却手按着圣洁的古兰经流利娴熟地撒了谎。而一个没什么文化，艰辛挣扎在社会底层的女人，却在向古兰经宣誓之前，想到自己说出的可能是难以确证的谎言，而瑟缩崩溃地说：不，我还有疑虑……,一个有信仰的国家才能发生的道德纠结。手持与频繁的主观镜头将观众带进他们的世界，甚至会错觉自己也是当事人。对角色感情细腻且准确的把握让你的情感天平反复在两组家庭之间。对角色心理暗角和懦弱一面的剖析，让人忍不住叫好。情节上波折不断，是生活的力量。与《关于依丽》一样，与众不同的伊朗电影,一个战争与宗教包围着的国度奉献的一部佳作，可以称之为实至名归的金熊奖最佳影片。大量的手持镜头，用客观而冷峻的镜头讲述着两个平凡家庭的琐碎与冲突，人物刻画入木三分，故事的悬念更是凭借着适当的掌控丝丝入扣，直到电影完结仍使观众处在情绪当中。★★★★☆
电锯惊魂,8.7,337532,可是跟电锯有毛线关系啊明明是手动的,最后五分钟让我全身发抖！,这其实是个励志片好不好，杀手先生告诉俺们即使在生命的尽头还是能干成很多事情滴~,看第一部的时候着实被他的情节设计给惊讶到了。,第二次看，感觉着仍然是一部顶级的血腥电影，结构和叙事都很牛逼，叙事张弛有度。
新世界,8.8,208148,好伟大的爱情片，我都快哭了,韩国电影的山寨路线中心思想就是【西巴！】——要做就做狠一点，于是，新鲜的东西就出现了。,弄巧成拙姜科长，无心插柳李子成，唯我独尊李仲久，超长待机是丁青，壮哉天朝大黑客，实力助攻小延边，智商不够高局长，我没看够宋智孝,md，太好看了，害怕她一点点演完。虽然一开始就猜到了结局，但是拍的真带感啊，尤其是戏骨黄的车库突围戏，那叫一个悲壮。棒子又一次感动了我，好电影,最后还是华侨统一了南棒黑社会，中国人最狠啊。。。
香水,8.5,403167,最大的缺点是：我根本闻不到香水嘛，你在那陶醉个啥？,这简直就是一部资本主义发展史，出生于最肮脏和腐臭的地方，却追求最纯粹的美，通过杀戮得到迷惑人心的力量，就连最痛恨他的人也甘愿俯首称臣，最后犹如寓言一般消失于这个世界......,一个单凭体香达到高潮的男人,丫怎么长得那么像郭敬明？！,这个故事如何不是比嫌疑犯x的献身要好上数百倍的大气故事呢？巴黎、格拉斯，每个城市里为了香味而忘我且凶残的努力——这并非凶残，而是纯粹的追求人生中唯一至高至圣的目标，找到那个生命中最后的味道。而一旦这个味道得到了，他生活的一切也就失去了意义，反而重拾当年全部细节的美好，最终就回归了起点，在鱼市场的臭味里让一切归位了。
驴得水,8.3,619497,即便评分再高也完全喜欢不来。我们还是太热衷主题与意义了，以至于忽视了传递主题的方式与合理性。影片为了所谓的人性深度，而刻意设计剧情和人物转折，忽视基本的人物行为轨迹，都非常让人不舒服。喜欢有深度的电影，但希望能以更巧妙的方式讲出来，而不该是现在这样。以及形式上，这不就是舞台搬演么,幸好有个民国，不然借古讽今都没有抓手,这样的剧本，这样的电影，任凭你们怎么说风凉话，都休想模仿出来，国产片的普通货色离它差距太大。,1.库斯图里卡的癫狂、荒诞+法哈蒂的困境、冲突，而这...其实在中国这片土地上随处可见；2.追求自由的人，死了；3.愤怒的人，成了听话的牲口；4.宽容的人，成了小人；5.淳朴的人，成了恶棍；6.正面向上的人，总在行骗；7.就让我们忘掉过去吧，才能继续作为“人”活下去。,不能把开心麻花出的所有电影都粗暴地归到「喜剧」里……这种营销思路就会导致我今天观影时遇到的蜜汁尴尬……有一帮观众从开头驴棚着火就开始笑，然后一直笑到结尾枪声……我……真特么……跪了……
傲慢与偏见,8.6,506187,最爱~~~伊丽莎白在大雾中看到渐渐清晰向自己走来的达西先生，我眼睛都湿润了……,乔·怀特对长镜头有种奇怪的迷恋，总会用那么一两处调度极其复杂的长镜头。美术真棒，布景超华丽，外景也漂亮，摄影很美。情绪很饱满，有几处细节很用心。当然，对于原著党来说，她们是永远不会满意的,"拍得挺美的,拍名著只要不把它拍砸了就是胜利",那个傲慢的人在溢满雾气的晨曦中走来，用最卑微的姿态求你爱他，甚是美好,这一版的每一刻都美得让我心醉。特别是片尾达西从田野的晨雾中向伊丽莎白走来的镜头~
黑天鹅,8.6,610367,舞台上那段黑天鹅太惊艳了！！！！！！Natalie这牛逼演技！！！！！！,非常概念化的故事，毫无情感内核，充满刻意的惊悚，只能用化妆和特效弥补对故事掌控的不足，要说非跟冷血惊魂比，实在有点露怯。波曼的表演也实在缺乏点层次吧，从头到尾不知所措的慌张表情实在看得生腻。所以表演还是讲求天分的事儿，跟智商无关。,那一颗星星是被吓掉的,不配5星，至少20星。,“我感受到了，感到了……完美。”一段用走火入魔来成就的完美，亦真亦假、亦实亦幻。影片从始至终都弥漫着黑暗的色调，很惊悚，很压抑，无论配乐还是摄影都极其吸引观众。娜塔莉·波特曼颠覆以往，奉献了一场精彩的演出。★★★★★
房间,8.8,268258,小演员没提名最佳男主角，一定是为了把小金人让给莱奥纳多。,电影开场一个半小时：卧槽原来这孩子是男的！！！,小男孩才是真正的主角，故事站在受害者的视角上，讲心理自救，母亲努力让儿子和同龄的孩子一样，故事选择了一个非常有趣的切入点，环境改变到内心改变，一切都以小男孩的情绪展开，很有难度，所幸小男孩的演技是奥斯卡级别的，剧本是模式化的类型片写法，前一个小时非常完美，拍的工工整整。★★★★,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,3.5入；被小主角打动好多次，那个在成人眼里充满黑暗龌蹉的“房间”，却是他童年梦幻的乐园，可以和光影追逐，可以和家具嬉戏，孩子无穷的想象让密闭空间变得无穷大，前半部拍得既美丽又残酷；融入外界后线索较芜杂，没有处理好，“你又救了我一次”和告别仪式真催泪。
无耻混蛋,8.6,337220,"放映室里俩人互相枪击那段,音乐配的太好了，我太想钻进去了",当法国人不讲情义，美国人不讲人权，德国人不讲原则，英国人满脑浆糊，犹太人大开杀戒，希特勒就死了。,昆汀同学越来越变态了，比北野武还杜琪峰。,引用某影評人曾說的話：「一些得令的導演，由於創作泉源枯竭，只會從B級或C級垃圾片堆中覓食，美其名說向它們致敬，終究下過是垃圾再造垃圾而已。」,我只有一点不理解：影院老板最后在电影上的那段宣言，可以是法语也可以是德语，它怎么会是英语呢。。。。
时空恋旅人,8.7,364393,穿越界第一女朋友:RachelMcAdams;喜欢这部片子的光感，最爱大雨如注的那场婚礼，你紧张地问我，是不是想要一个阳光明媚的婚礼，不不，一切不需要重来，一生只这一次就好。,对于我们最爱的人，不说永远，只说珍惜。差点在电影院哭断气,理查德·柯蒂斯擅长的轻松有趣加温情。时空旅行仅是噱头，重头还是亲情。当主角发现即便可以时空旅行，仍无法避免那些生活的悲剧。比如亲人的离去，我们始终无能为力，这恐怕是最触动我的地方。最终的主题仍是学会爱，学会生活，并珍惜与亲人的每一天，这话说来容易，实际却相当难。生活中同样应该如此,突然悟出一個道理。分分合合的戀情，多半因為其中一方熱切於gobackintime，重臨兩人曾經的過往。而另一方並不。,1、三观够正，道理积极；2、故事想法很有意思；3、原声配乐很好听；4、剧本有问题，过度弱化冲突，故事本身除了舒服外没有说服力，lifeismuchharder；5、太多旁白只说明剧情推进的乏力；6、镜头不时莫名其妙地晃；7、片子质量有三分，给到四分是私心
头号玩家,8.7,962452,9。我爱这部电影，就好像我的梦想是能进入马丁·斯科塞斯的《出租车司机》，看罗伯特德尼罗枪杀嫖客和鸡头，营救朱迪·福斯特。所以，我爱这部电影。,走马观花的IP大赏，剧情人物基本不通，鸡汤也撒得不知所云。适合跟塑料姐妹们一起假嗨,要哭了，每个友邻都是五星好评，而我羞愧地半路睡着了……就感觉故事蛮老套的，那些让人嗨的点，心里只是“哦”了一下。,大开眼界！对我这个只玩过斗地主的电脑游戏盲来说，《头号玩家》的内容确是匪夷所思。年轻观众欢呼雀跃的无数“彩蛋”我常常无从辨识，一头雾水，但是观影体验仍然痛快、满足。比我小四岁的老导演斯皮尔伯格，如此旺盛的艺术想象力和娴熟才华，让人佩服不已。后半部渐显落套，也无可苛求。,斯皮尔伯格把他对电影的梦想、热心、爱与情怀，浓缩到这部片子，通过极具年代感的经典电影和角色，又并茂高科技的现代游戏闯关，他拿手的、专注的、想诉说的都在这里给影迷情倾盆呈现，并在最后一句“谢谢你玩我的游戏”推向高潮，就像在银幕前看着他对我们说“谢谢你看我的电影”…泪奔
黑鹰坠落,8.7,197793,这里没有《拯救大兵瑞恩》的煽情回忆，也没有《现代启示录》的痛苦反思，有的只是战争，真实而残酷的战争！,战争中的人性光辉啊，美国大兵居然也让别人打得这么惨，但令我震惊的是最后只死亡16人，装备和医疗就是牛逼啊,非洲兄弟命贱，一死一大片！,是想当作一个任务如何失败的案例来看的。。战斗场面够多，信息量还是不够全。。战争残酷狰狞自不必说，只是只有美方士兵单方面的人性化描画，至于那些发狂的索马里士兵却只是默默而生，默默而死，成不了一个相互沟通的契机。。背景音乐很不错,发现这种突击类枪战片的翻拍总有丧尸片的气质，不怕死而且打不完。真实又恐怖的战争，弹壳如雨点般飞落。
雨中曲,9.0,140838,我曾无数次从《发条橙》、《AI》、《如果爱》、《WALLE》里看到对《雨中曲》的致敬今日终于承认：这就是人类歌舞片的巅峰，超越《音乐之声》，秒杀一切，无与伦比。当然刻画、节奏、布景等等有着非常多的毛病还是搁置下来好好看看吉恩凯利俘获美人心时的那副小样吧这绝对是影史最珍贵的片段之一,“从此以后，我只在乎一个影迷”、“你是我的歌，春夏秋冬”…于是以后，见到这样的路灯，就想扶着灯柱起舞。,美国歌舞片的代表作。GeneKelly初获芳心后在雨中欢快地载歌载舞，此段情节堪称歌舞片历史上的永恒经典！我都不记得我把这段看过多少遍了。,老电影总是快乐得那么纯粹,大雨的夜晚，与戴比·雷诺兹分别后，男主角陷入捕获芳心的无比快乐中，索性收起雨伞，在雨中载歌载舞！
谍影重重2,8.6,248607,拍摄利落。全片大量采用了近景跟随拍摄，追逐逃亡场景用极短的镜头剪接连缀，没有用近几年时髦的慢动作、子弹时间、镜头满天转等特效。但是一样达到了让人屏住呼吸、目瞪口呆的效果。汽车追逐片断中近距离车内拍摄的碰撞场面尤其惊心动魄，远比其他动作片中动辄撞坏十几辆车来的惊险刺激。,俄罗斯出租质量真好,伯恩在水下亲吻玛丽的那段，真是又美丽，又悲伤，唉。,"我发觉叫JB的都很厉害，是不是？JamesBond,JasonBourne",整个片子干净利落，扣人心弦。对自我身份的确认与对过去的救赎又让影片多一份厚重。
喜宴,8.9,227781,“妈，同性恋的人能够在各方面合得来凑合在一起生活，非常不容易。所以我跟赛门都很珍惜对方。”李安总能在边缘和传统之间找到恰到好处的平衡点，然后双双将我们击溃。,李安那句酱油台词太霸道了，大家都没捅破的窗户纸就这样被他。。。可能是编剧有外国人的缘故，台词有点心灵鸡汤啊，不过一切都很完美，喜欢归亚蕾的表演，赵文瑄也确实巨小受哈哈哈。爸爸才是终极boss，不要小看爸爸！懂外语就是王道啊~~~感人的好片,看來高爸爸也是gay跟張管家有一腿但是爲了這個家嘛延續香火就只好結婚生娃咯,李安总是善于在西方的文化背景下表现中国文化的细枝末节。被放大致喜剧形式所表现的那场中国婚宴，反讽了中国文化中对于性的压抑…而中国最传统的家庭、家族理念，也在这一场假结婚的风波中进一步深化。隐忍的情感，家庭中的冲突，最终在爱与理解中得到化解。接受了一切向前走，这终是一场喜宴。,看到房间号1069我的玻璃心碎了一地...
花样年华,8.6,384413,张曼玉比梁朝伟高，但他们站在一起那么协调。想来，是穿了高跟鞋的她，懂得委婉地低头的缘故。,"Theyareinthemoodforlove,butnotinthetimeandplaceforit.剧本很有意思，设置了一对在电影里没有任何镜头的偷情男女，却又无时不刻地提醒着周慕云和苏丽珍不要做爱，所以王家卫镜头里沉闷的男女，空荡的房间里充斥着一种不可得的情欲，极省略的叙事，舒缓优雅的大提琴曲配乐实在是太到",深夜，雨巷，慢镜头；暧昧，寡欢，语还休。与君淡如水，千杯亦不醉。,"王家卫最强的,就是让人掉到一种情绪中去",隐忍的中年激情。＂我一开始只是想知道他们是怎么开始的，后来我发现原来一切都是在不知不觉中发生的。＂
我爱你,9.0,101383,你说，如果到人生的尽头，还没找到牵手的人，那咋办啊？,和《素媛》同理，差强人意的作品,對不起，我是個膽小鬼，沒有妳我怕活不下去。,他们是我看过最帅和最漂亮的四位男女主角。,"“我是个胆小鬼，没有你，我怕活不下去。”四个古稀老人，两段浓浓黄昏恋，他们爱的善良，爱的浪漫，爱的纯粹。即便有些段落会让人感觉略显刻意煽情，但众多老戏骨奉献出的这部电影依然十分值得一看同时也耐人寻味。btw,我始终无法免疫这类电影，满满都是泪。★★★★"
恐怖游轮,8.5,533900,我看过的最好的悬疑片，为了严谨，加上之一。。。一个循环的世界，西西弗斯的世界。。。看完给人以警醒，我们总是在说，如果给我再来一次的机会，我一定会怎么怎么样，但是真的是这样么，电影给了我们一个很好的答案。。。最后再说一句，看懂了这部电影的人，会毫不犹豫的给5星。。。,知道自己命运的人最恐怖,有小聪明，少大智慧~详细一点说：导演有一定匠心，但是全片看太注重一些边边角角部分，整体结构上显欠缺，解释不合理，主线力不从心，细节再装扮的故弄玄虚也算不上上佳之作，姑且三星,好吧，Triangle，多好的名字，谁TM给译成《恐怖游轮》这个标准的B级片片名的！？,不要企图在重复中寻找已经失去的爱
谍影重重3,8.8,293724,“如果你在办公室，那我们现在就是面对面谈话了。”这句对白太拽了。,紧凑、凌厉，史上最佳间谍动作片。,美国特工已经成仙鸟,作为Bourne系列，这部真是豹尾，节奏与情节安排都极为令人称道。,Bourne去救Nicky这段最抓人。
猜火车,8.5,329928,世界在边，音乐在变，连毒品也在边，你不会越来越年轻,墮落也需要天分。,啊，马桶世界无比神奇,就一点想法，而且与电影无关：外国连个吸毒的流氓都知道和未成年发生性关系是违法的，即使是人家自愿的，但在天朝。。。。。我就不说了。。。,令人惊艳的马桶
发条橙,8.5,269095,我也想买那个瓷的大JJ,对于他的电影我一直都抱着没水平写影评就闭嘴的态度,库布里克我想看下你的脑花并谢谢你陪我度过了躁动轻狂的青春期,经典的3p节奏..漂亮干净的画面,成功预言了杨永信的电击疗法。
你的名字。,8.4,915658,新海诚终于会讲一个复杂故事了，真不容易啊！当年那部搔首弄姿、无病呻吟的“言叶之庭”差点让我转成终身黑，“君之名”却轰出了我睽违已久的少女心。彗星降临的末世情怀，穿越时空的灵之绳结，只有7秒钟记忆的鱼...星空、爱情以及所有遇见都是注定。,你我相逢在黑夜的空中，你有你的我有我的方向，你记得也好，最好你忘掉，在这交会时互放的光亮。,聚结成状，交错纠缠，时而回转，中断，却又再次续接。这就是组纽。这就是时间。这就是结。黄昏，不是白昼亦不是夜晚，是我努力却看不清你的脸。たそがれ、誰そ彼。我已记不得你的名字，却还记得喜欢你。,和《追逐繁星的孩子》同个毛病——一个平时专注于言情的人看了科幻小说之后可能就是这样的，他执着于用新学到的概念来包装自己的认知，而不是放手让这个概念去革新它。,一清早醒来捏捏自己的胸部，“啊，真不好意思呢。”然后穿上了人家的裙子，美满地过了女生的一天。
人工智能,8.6,296739,那只熊在自己缝自己！！,很奇怪，看斯皮尔伯格的电影，即使有些场景拍摄得十分感人，但总是不能让我从心里感动，可能是觉得太商业了，太刻意了？,那个小男孩真的很会演戏,如果不能爱我很久，为什么要启动我爱的程序？,这才叫大片儿！大主题大人性，简洁漂亮新奇质朴又壮丽。印象深刻的是三人吃饭的俯瞰镜头，把小孩儿彻底变成了基督。
教父3,8.9,230357,维多·柯里昂死于极乐，旁边是一个机灵的毛孩；麦克·柯里昂死于极悲，旁边是一只棕色的小狗。,看到最后要哭死了，可能因为总算有终了，这是教父系列我最喜欢的一部。另外想问问索菲亚小姐，您演技差也没关系但是没见过人死吗。。。。要不是帕西诺在嚎啕就完全没泪点了。,本来冲着索菲亚·科波拉要少打一颗星的，但是看到她被杀死了好开心啊！！！！,年老的阿尔·帕西诺，并没有失去力量，而是更魅惑动人。,说实话，我真不喜欢三。
新龙门客栈,8.6,300592,那时甄子丹还没出名，在演大反派，林青霞因为《东方不败》、梁家辉因为《情人》都红到爆，但该片的最大受益人却是张曼玉。那个风骚入骨的客栈老板娘，成了武侠影史上跳不过去的一页。今后恐怕没人能比张曼玉演江湖客栈里的老板娘演得更好了。,当年看到最后把甄子丹的脚剃成骨头的时候我还吓了一跳,大漠孤烟直，长河落日圆。感觉这才是中国的西部片。茫茫大漠里一间小客栈里面各种势力的冲突纠葛。话说原来那双刀鞑子男才是扫地僧般的存在啊。,"三步一个青霞,五步一个曼玉,甚是享受",张曼玉真是风骚啊
卢旺达饭店,8.9,192384,当这个世界闭上双眼，他却敞开了怀抱。,很早以前看黑镜头就知道这段历史了片中还是侧重于胡图族对图西族的屠杀但实际上在图西族控制的地区对胡图族也发生着同样的杀戮这是一场无法说清的事实事实没有真相只有荒谬的让人不可理解人们用最原始的武器棍棒刀叉去和自己的邻居搏命只因为他们觉得不杀死对方对方就会来杀自己,我不再抱怨我生在中国，我不再抱怨我生在80年代。只希望人类自毁灭亡的那天能来得再晚些。任何敢凌驾于生命之上的东西都是狗屎。,我们看了那些屠杀的镜头然后继续吃大餐,屠杀纵然可怕，但更可怕的是对屠杀的漠视。
千钧一发,8.8,159468,是该庆幸这样的电影出现的时候还不是腐女遍地的年代……,没有触目惊心的科幻大场面，娓娓的说伦理、说基因技术的双刃剑。落了泪的点不是主角，而是最后那个医生，原来他一直都帮助着Vincent，这种梦想一旦被共享，也就推动了第一块多米诺骨牌。有趣的是，片名本身是由DNA的碱基组成的，还有剧组成员名字出来的时候，也是先凸显出G.A.C.T，很有心思的小细节。,看了这部《千钧一发》，没想到还真不错，男煮饺儿追求梦想时不给自己留任何后路的精神真鸡巴励志啊……这种励志非心灵鸡汤式励志，而是心灵牛鞭汤式励志……我们曾经都是星尘，莫名其妙地来到了父亲的睾丸里，来人世走一遭后重新变成星尘……反正迟早变星尘，不如追梦尽情活……,“我只是把身体给了你，你却让我分享了你的梦想”。（BTW：OriginalMusicbyMichaelNyman）,现在再看，还挺腐的。。。
魔女宅急便,8.6,317681,我喜欢她头顶的大红蝴蝶结，还有狠狠白那个小男生的一眼,看电影最能触动你的时候，就是电影的宗旨在你最迷茫的时候告诉你现在必须要做什么！KiKI成长了，你呢？KiKi又能飞了，你呢？,结尾仓促，情节简单,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的,虽然设定都♥♥♥♥♥满点可是结局是怎么回事儿好突然……突……然……………………
岁月神偷,8.7,437424,没想到2010年还能看到这样的电影，感到很幸福。,當你發現時間是賊了，他早已偷光你的選擇,弟弟偷了能偷的一切给哥哥，可哥哥被偷走的却是生命。,每个人都有一场被岁月偷走的记忆。眼泪流了那么多，但丝毫不觉得煸情。节奏虽慢，但不琐碎。很喜欢李治廷的表演。这一场感动，来得无比自然、真实而朴素。难一步，佳一步。一步难，一步佳。有这样的爸妈，我们难道没有理由看得见天空中同时出现的两条彩虹吗。另，海报上明明不可以少了李冶廷的份嘛。,突然觉得吴君如如此美丽.
人生果实,9.5,75860,怎样才能活得像个人一样呢？爷爷90岁奶奶87，身为建筑家居住在二层木结构老屋里，每日在自家庭院里锄地拔草、捡落叶、挖土豆、摘樱桃梅子、采核桃柿子、做木工、熬果酱、烤蛋糕、酿酸奶、打年糕…还要给笔友写十封信，亲自骑车去邮局寄。住得像个人，吃得像个人，像个人一样工作，死得像个人，如此，就有了像个人的尊严一生。,【20180117】很美好。让人不怕老。,“老头子之后的事我会努力活下去放心吧那个你等我等我生命到尽头变成骨灰的时候我们一起周游南太平洋等我到那个时候说好了哦一个人会很寂寞但要好好的等着我我很期待再见到你我会好好活下去的”,看这部片子的时候突然想到，生命的长度也许不该从出生计算到临终，而应该由自己觉得开心值得的一刻一秒累加而成，这才是“人”生。,活得越久越能明白，人生是循序渐进，不紧不慢的过程。孜孜不倦地去活，自然会结出丰硕的果。
谍影重重,8.6,297163,"我发觉叫JB的都很厉害，是不是？JamesBond,JasonBourne",喜欢Bourne的冷静。当MattDamon打开银行的保险柜时，我突然发觉，世界之大，持有三样东西便可畅通无阻：金钱，身份（也可理解为地位），枪（强权）。要求自己象特工一样生活显然是很辛苦且不切实际的，然而，有些时候，特别是面对危机，试着用特工的思维方式去看待问题也许会很有效，特别是对于男生。,"马特达蒙的外貌在帅哥扎堆的好莱坞实在不算起眼,却又如此特别,总能为你喜欢他找到一个理由.他演天才,演间谍,演神偷,睿智,冷静,从容,身手敏捷,眼神偶尔忧郁,偶尔深情,偶尔锐利充满警觉,走路时姿势总是很怪异,他不常笑,但不经意展露笑容时,会觉得他的笑像孩童般天真,那么有感染力,一不留神已被他俘获",只有动作片，才能如此深沉霸气地表达人类的困境吧！,简洁有力
E.T. 外星人,8.6,244316,在一个特级还不够发达的年代，只能依靠更多的温情和笑料，比如最后ET对德鲁说begood，他临走带走了他们家的一盆花，这是最后的唯一的纪念，然后就一别三十年，只留下天空一道彩虹。,老了老了再看这个能有啥味儿？,生病的ＥＴ皮肤的颜色就像柿子饼,断断续续看过很多次，而且都是很多年前，看完整版还是第一回，自行车突然飞腾的时候多少有些激动。童心与童年爱做的梦，属于童年的故事。,小伙子骑自行车是十级水平，可以代表国家参加奥运会了。2015.3.24成都
惊魂记,8.9,152658,且看诺曼的lastsmile毛骨悚然！,最后那一抹笑容堪称经典。,看这部电影必须回答一个经典的问题：女主角遭到刺杀时，镜头直面花洒，花洒每一条水痕都清晰无误如同肉眼看着一样上镜。请问，摄影机是如何做到的？,人格分裂的鼻祖，试想60年代人们看到这部电影时能有几个不喊牛逼的,神作。全面滿分。如果有任何不被打動的理由，那就是觀眾晚生了50年，受到太多這部電影50年來泛濫的影響，就像一個沒有受過高等教育的英國老婦不會覺得沙劇牛逼一樣。
釜山行,8.5,734927,不以权威口吻说夸张点就吸引不了眼球：韩国电影又甩了我们十年。,一切灾难皆人性，唉，最后那一枪要是开了，就是神作了。,套路很深，下料很重！据说这部电影耗资100亿韩元，其中90亿用于几百名群演的霹雳舞教学费用。哦，对了，还要唱好歌，关键时候保命就靠他了。,这部片子里的孕妇和甄嬛传里的孕妇战斗力不是一个次元的,丧尸再也不是西方的专利了！韩国影人再一次向世人证明了他们非凡的叙事能力和精巧的借鉴本事。没有好莱坞式拯救人类的大英雄主义，多了的是人性的反思与情感的刻画。无论怎么看，这部电影都是亚洲影界的头一遭，五星鼓励！
