title,score,number reviews,comment list hot
狂热分子,狂热分子,9.0,"['领袖必须是个务实者和现实主义者，但说起话来又得像个梦想家与理想主义者', '自我若是软弱无力，再多的自由又有何用？', 'kindle阅读第一本，感觉还不错。这本书牛逼的地方在于，霍弗指出了自由并非对于每个人都是憧憬和福祉，事实上对于大部分人而言可能是不堪的重负，他们害怕去选择和决定自己的人生，于是便把自己的命运交给一场“伟大事业”或是某个“伟大领袖”', '哎呦，只有结论的小册子，写成微博估计比较合适吧。', '每一段每一字都可以摘出来做格言警句~~然后对号入座我大天朝历史与当下']"
香水,香水,8.5,"['我们都好想被这世界全心全意爱一场。', '我觉得书比电影好，也许因为底下这一段不大起眼的文字让我很感动：“从西部，从河流经过城市而切断的这条唯一的林间通道，吹来了一阵风，它把种种气味从陆地，从纳伊附近的草地，从圣日耳曼和凡尔赛之间的森林，从遥远的城市，例如从鲁昂或卡昂，有时甚至从大海吹了过来。海像一只胀得鼓鼓的帆船散发出气味，帆船里装着水、盐和冰冷的阳光。海的气味普普通通，但同时又是伟大的、独特的，所以把它的气味分解成鱼、盐、水、海藻、清新等等气味，格雷诺耶总是迟疑不决。他宁愿让海的气味合在一起，把它完整地保留在自己的记忆里，整个地加以享受。……', '“人可以在伟大之前、恐惧之前、在美之前闭上眼睛，可以不倾听美妙的旋律或诱骗的言词，却不能逃避味道，因为味道和呼吸同在，人呼吸的时候，味道就同时渗透进去了，人若是要活下去就无法拒绝味道，味道直接渗进人心，鲜明地决定人的癖好，藐视和厌恶的事情，决定欲、爱、恨。主宰味道的人就主宰了人的内心。”\r\n\r\n', '当你想吃炸鸡，你分得清楚想念的是炸鸡上面的甘梅粉呢，还是炸鸡本身？', '如果每个人一生都有一本注定的书，我的就是这本，应该不会有人像我那样对书里的每字每句都欣喜不已吧？']"
失明症漫记,失明症漫记,9.0,"['我们没有失明，却在做着全世界都失明之后的事情。', '【2015.6.11~6.14】故事好看是因为在特殊境遇里人的状态描述得好，但本书的价值在于集体陷入突发性失明是个巨大的隐喻，作品这种优秀之处与《城堡》《鼠疫》相同，都是表里均牛逼。这是个被上帝遗弃的城市。1、状写人在群体失明后原始兽性的爆发，动物性的争斗永无止歇甚至更为凸显，面对性威胁时女人的英雄救世行状和男性的卑琐；2、国家机器的冷酷、卑劣与自私；3、文明的退化、原始野蛮的苏醒；4、逃亡；5、唯一保有视力的医生妻子经历着无与伦比的巨大孤独感，对丑恶真实的观照使她比盲人更不性；6、饥饿感的描摹；7、结尾留下了一个恐怖的悬念。8、人物都没有名字，符号化。作者曾说：“虽然我生活得很好，但这个世界却不好”，“残忍是人类的发明”，“当权者专横，把一部分人排斥在社会之外”。', '书是好书，但里面的场景太脏太绝望了，生活已经如此艰难，读完了心情好沉重。', '一个全民失明的世界，一个虚无贫瘠的世界，在这个世界里，时间正在完结，腐烂四处蔓延，水源正在干枯，食物成了毒药，疾病到处肆虐。在这个世界里，唯一能够创造的奇迹是继续活下去，日复一日地维持脆弱的生命，仿佛生命也失明了，不知道走向何方。在最深的绝望和疯狂里，耐心等待就是所能做的一切了。', '加缪说人类会胜利，但不是永恒的胜利。萨拉马戈说我们是瞎子，是看得见的瞎子。']"
稻草人手记,稻草人手记,8.9,"['荷西的信太可爱啦!', '读书时家里的长辈说不能看三毛，说她书里都是编造出来的奇思怪想，后来很长一段时间读三毛都有种坏学生的感觉，偷偷地读过一些，很喜欢。很多年不读三毛，最近家里书架上看到这本，也许是先生买的。隔了这么多年再读，究竟仍是赞叹，现在能有多少游记有她写的好看，而且三毛写的并不仅是异国的风土见闻，看到她关于电视的思考(《塑胶儿童》)，跟尼尔波兹曼的《娱乐至死》主旨不谋而合，对婚姻的思考，夫妻相处之道，见解独特先进等。终究也是一个时代的天才作家。', '死的人死了，生的人一样继续要活下去', '游于艺”作为三毛的一种文学观念,主要包含了她对文学的功能，文学的价值，写作的动机与心态等一系列问题的自我理解，它并非创作态度上不负责任的“玩世”，也不是写作过程中随心所欲的涂鸦。事实上，写作在她不仅仅是游戏，那是一生的执著。潇洒天涯的同时，伴随着艰苦，单调的沙漠人生，行云流水，信手拈来的文字背后，是夜以继日，呕心沥血的惨淡经营，仿佛天然自成的故事，却用尽了叙事的苦心。', '当我自己成了一个大人之后，那些小时候认识的大人慢慢从神坛下走下来了。这次看三毛也是这个感觉，多了一份理解和亲切，少了一份景仰。（芜湖火车站等车无聊买的盗版书。）']"
夏洛的网,夏洛的网,8.6,"['付出爱的同时就是在为生命赋予意义。', '这是我大二在书店打工时，趁老板不注意偷偷读的一本小书，那时觉得好感动。那时我也好快乐啊，简单又单纯，洒脱又快乐。什么都不用想，只要记得念好书就行。生活就是一辆没有回程的列车，沿途再美的风景也只能路过，踏上去就不会复返了，做的就是享受当下的生活。还有多少时间用来等待和遗忘呢', '夏洛说，我们生我们活一阵子，我们死，活着的意义是什么呢。也许通过帮助威尔伯，她提升了自己生命的价值。', '我愿一直是孩子。\r\n', '家羚说：“图克尼 你知道这个故事里最让人伤心的是那一段吗? ”“哪一段? 夏洛蒂吐光了蜘蛛丝救了小猪 然后自己死了? ”“不。不是那里。是小女孩再也听不懂动物们说话那时起。那之前 他俩是朋友、是恋人。那之后 小猪被抛弃至绝对的孤独和恐惧之境。那时发生了什么事? 使她离开它 加入了屠杀它族类的那个族类 不再愿意同情它、理解它。让它变回一只彻头彻尾的猪。”——from《西夏旅馆》。在《西夏旅馆》看见这个浓缩之后的童话式故事非常感兴趣。当即就在卓越下了订单 第二天中午就从卓越大叔手中收到了热腾腾的实体书。小说本身其实写得很平淡  非常平淡、和我一开始从骆以军的简短复述中所取得的故事信息出入很大。怀特的文字还是要经过骆以军的转述来修饰一下才显得更精彩。喔 还有 谢谢豆瓣把350字的短评附注还给我了。']"
你一生的故事,你一生的故事,8.6,"['【给作者跪下】当你对未来无知的时候，你只能以因果论的方式看待世界，于是你会对你的选择感到后悔，怀疑另一些选择可能更好——这时候你的痛苦是：你有自由选择的能力，但你的选择导致了一个你不愿意看到的结果。然而当以目的论的方式看待世界的时候，你看透了整个未来，你可以选择过程，但你无法选择终点——这时候你的痛苦是：你明知会有那样的未来，但你无法避免。就两者的效果来看，它们其实都导致了你无法选择终点的事实。', '《超体(Lucy)》这部电影真的不是从《领悟》这则短篇改编来的吗？！', '特德.姜与其说是在写科幻小说，不如是说在写宗教幻想小说，或者哲学幻想小说。他扩展了科幻小说的范畴，情节并不突出，而是各种充满想象的细节，思考的过程和转折，基本是趟思维之旅。', '难道只有我欣赏不了特德姜？', '多年后，喜见译林新版，我要说，这确实是没法不读的一部作品，无论你是不是科幻粉。当年读四川科技的版本实在是崩坏了，时人皆爱说神作二字，岂止多少神作在这部作品前都是渣！']"
庄子,庄子,9.4,"['他的文字是无法用五颗星来表明最高分的。\r\n\r\n你知道甚么叫做梦麽。', '吾昔有见，口未能言；今见庄子，得吾心矣。\r\n\r\n', '中国古人已将人研究透彻', '中华不朽经典中的一部宝书，一朵奇葩！思想上继承和发扬了老子道家学说，而其创意天马行空、行文俊逸洒脱，亦极富艺术性和文学性。“乘天地之正，而御六气之辩”——庄子这种天人合一、淡泊清净、逍遥无我的境界，我永远可望而不可及。给四星是因为中华书局出的这版不全，只全部收录了七篇“内篇”，而“外篇”和“杂篇”都是选录，以后要收本别的，把其余部分补上。', '生动形象幽默机智的寓言故事，汪洋恣肆仪态万千的语言文学，石破天惊的艺术感染力。超脱无为，无拘无束。恒久远，永流传。']"
强风吹拂,强风吹拂,9.0,"['从第259页到第426页都是一个一个描写十位接力跑者怎样跑箱根驿传这个两百多公里的接力赛，并且叫人越看越想看下去。', '新年第一刷，会跑步的热血青年简直燃爆了！三浦紫苑刻画了十个栩栩如生的跑者，细腻而又动人。人生在世，即使非常努力，才华有时也派不上用场，梦想也不见得能实现。尽管如此，我们还是会拼命跑下去，一切无非只是为了更加接近，并成为一个更好的人。奔跑吧，2015！', ' 三浦老师每一本小说都能成功向我安利一个新的职业！！！', '真是太好看啦！围绕青春、向上和团结的主题，在三浦的笔下水道渠成，毫不做作。村上春树说，他没想过变成猫，可他想变成风。“我像风一样的自由，就像你的温柔无法挽留，你推开我伸出的双手，你走吧，最好别回头”，青春啊，就是这样一趟无法回头的旅途。翻译很棒，都是神句神翻译！', '燃哭是怎么滋味啊！！！那就快读这本书吧！！！本来只是想读神去村，结果意外发现同作者的这部作品，这才是少年该有的气质啊！！！']"
佐贺的超级阿嬷,佐贺的超级阿嬷,8.7,"['那个时候的日本校园好像还不流行欺负转校生，所以岛田真是幸运，虽然穷但被那么多人温柔对待。谎称肚子痛和他交换便当的老师，一起为同学打工赚钱的棒球社…除了神奇的阿嬷，这些也让人觉得好温暖。', '“让人察觉不到的体贴才是真正的体贴、真正的关切。”积极乐观的人生态度融在一个个小故事当中，尽管琐碎但却能让人感受到暖暖的爱。', '读者小时候家境很穷，奶奶给他灌输了很多思想，让他感受不到穷，并且很快乐。从某种意义上说，这也是一种洗脑，降低欲望，从而减少痛苦。这和49以后政府采用“低消费、高积累”模式发展时，在中小学课本上宣称“艰苦朴素是一种美德”的方法基本上如出一辙。', '没有坏人', '“人生就是总和力”。\r\n']"
挪威的森林,挪威的森林,8.5,"['原来那些大名鼎鼎的情话都不是说给大名鼎鼎的直子小姐的。', '以前觉得他们都很特别，其实是不理解他们；现在理解他们了，觉得他们都很普通。', '“春天的原野里，你一个人正走着，对面走来一只可爱的小熊，浑身的毛活像天鹅绒，眼睛圆鼓鼓的。它这么对你说道：‘你好，小姐，和我一块儿打滚玩好么？’接着，你就和小熊抱在一起，顺着长满三叶草的山坡咕噜咕噜滚下去，整整玩了一大天', '颓废主题直接表现为某种恒定的价值感丧失后，人所呈现出的茫然和无可奈何。动荡的社会，严酷的现实，柔弱病态的人格，颓废的人生场景，所有的抗争，无论是对于现实的虚伪性异己性，还是对生命自身，都显得无可奈何。缺乏一种积极主动的抗争和求索，也就缺乏鼓舞人心的力量。爱情给予人的不是心醉神迷的甜美，呈露的是对爱情真实性的质疑审视与剖析。当一切向外的努力都归于失败时，少年们很快完成了向内转的过程。渡边在音乐唱片和作为印刷物的书籍中寻找心灵的皈依，以酒精的作用来暂时忘却生存之痛，直子和玲子蛰居于有乌托邦色彩的与世隔绝的疗养院，使自己免受外力的粗暴伤害。当他们从自己假想的理想之境中稍一抬头，便再一次受到了现实粗暴机制的伤害。与社会缺乏起码的交流手段，对社会的抗争直接表现为对现实的拒绝与逃避。', '“不要同情自己，同情自己是卑劣懦夫干的勾当。”整本书中印象最深的一句话，读到这句时眼泪立刻就涌出来了。']"
告白,告白,8.5,"['这种原著改编的电影很难不出彩吧？', '很少有小说电影化不失细节与神采的，但是《告白》做到的。', '看过电影再去看小说，自然少了很多悬念的乐趣，不过仍是一本有意思的小说，相比电影社会性更强，整个也更暧昧些', '于是看完电影再来回头想想这本书 虽然读过已久中间的细节多多少少会有忘记 必须说的是 这本小书所表现出的凑佳苗的笔力，多少也只是在讲解一个故事的层面上 无法与桐野夏生相比 这本薄薄且一般 两小时读完的书 推理风味和文学风味都不上佳 大约属于读过就会忘记的那一类型 但是电影却令几个原文处理时并不太好的画面上升到了极度形象的程度 因为高速镜头慢速回放这种MV中增加感染力的技法 在改编电影中大量使用 闪回和特写 心理活动和独白配合了极好的配乐 反倒使人印象深刻了：第一处，为扔下还活着的孩子；第二处，为杀死女孩时的告白；第三处，为爆炸时倒走钟表的特写；第四处，为孩子证明自己活着而不洗澡的反风格（以及那个被毁掉的乐高建的学校）于是如此一来，这本书也只得三星多点了', '对付熊孩子的最好办法就是给予其迎头痛击！']"
步履不停,步履不停,8.7,"['“然后想起母亲，可能会哭，也可能会笑吧。”', '一个半小时完读，用荧光笔划了重点。用轻盈平淡如菜粉蝶羽翼一样的笔触，描绘出平凡而真实的人生。导演回答现场提问时说：＂比起跑步，我更喜欢走路。＂人啊，有时以为自己能飞翔，能奔跑，有时因挫败或痛苦而停滞不前。时光流逝不休，在我们想明白一切之前，生命哗的一下结束了，仿佛破茧成蝶。所以，步履不停。', '在衰老面前，孩子是手足无措应对手足无措的父母。我们能为父母做什么呢？不过是在各自余尽的日子，把相聚的时光转化为回忆，回忆即是蜿流在心间的生活本身。去多接触你爱的人，摸父亲的胡渣，抓母亲的手，亲吻妻子的脸，触感离开后即失，却有可能在以后似曾相识。三十年前的百日红，依然，其他行踪渐损。', '2017年已读058：平淡琐碎的日常，却也恰如生活本来的样子，那些看似微不足道的失望与苦涩，却最终成了两代人之间无法诉之于口的隔膜。孩子很难按照父母的期待成长，父母也很难成为孩子心中完美的父母，最亲的人，总是渐渐背道而驰，而和解总在失去之后，只能任由“当初若是这么做的话”的感伤与无奈遮蔽时间的流动。人生路上步履不停，总有那么一点来不及，总有一些无法挽回。 ', '4.5；适逢父亲一周年读到此书，恰如命中注定的应景，比电影更多揪心回忆与细节铺垫，剜心刺痛感，诸多细腻描绘，一定是亲历过的人才能写就，凝聚其多部作品的主旨；我们永远无法和父母达成共识，永远在嫌弃排斥和不忍不舍中作战，是枝裕和以极大勇气正视自身的怯懦和自私，甚至意识到延长母亲生命也不过是所谓“赎罪”的自私体现，真是要榨出皮袍下面藏着的“小”来，让我羞愧到无所遁形；对父母的关系描摹也甚到位，几乎是浓缩了万千家庭的悲欢，而我也在泪光里重历了一遍父母的故事。']"
欢乐英雄,欢乐英雄,8.8,"['丐帮所用的短杖，通常叫做打狗棒，这名字据说是昔日一位姓查的帮主起的。', '看了开头，简直以为古龙这次要超水平发挥了。结果后面迅速回归到他正常的那种低水平上去。', '古龙小说里看得最开心的一本，主角不再是独行侠，虽然依然是神经病……', '王动的被子，此乃一绝，欲效仿而不可得。', '古龙还差一步就可以成为腐文作家了 为什么燕七最后反转成女的！为什么燕七的秘密不是“其实我喜欢男人”！为什么！郭大路又不会介意！！！']"
通往奴役之路,通往奴役之路,8.8,"['我觉得它能在大陆出版的唯一原因是译的太差', '“一个富人得势的世界仍比一个只有得势的人才能致富的世界要好些。”', '倘若一切资源皆被国家垄断，个人的命运只有委身为奴。', '翻得其烂无比', '仿佛是命中注定的巧合，我在今年春晚的歌声中看完了这本书。看着电视里的假面，看着书中的洞见，一切那么荒诞，一切却那么真实，而这一切都已被预言。']"
人类的群星闪耀时,人类的群星闪耀时,8.7,"['应该加个副标——中学生作文写作素材大全。', '每次看刺猬哥都感觉到满腔鸡血和阵阵鸡皮，怀疑他写作的时候是不是磕了药。', '我想起了陈丹燕对茨威格的评价，大意是有时细腻的让人不得不喜欢，有时却觉得他太小气，此言真是深得我心。他的人物传记太人本主义，每个人物的行动都充满意义必然性和阐释，虽说是鼓舞人心的激励瞬间，却让人只看到了茨威格的本质而没有看到他笔下的那些人物。从这个意义上，我最爱的昨日的世界之所以非常杰出大概是因为他真正把目光对焦在自己，即使是写里尔克等人的段落，也都是和自己交往中的而不是被他的人本理解模式化的伟大或者其他，尤其是在陀和托的两篇，这种伟大化让我无法接受。', '命运——这世上的另一位神，只愿意用热烈的双臂把勇敢者高高举起，送上英雄们的天堂。', '书中瞬间决定历史的观点我觉得有点偏差【表打我！】']"
牡丹亭,牡丹亭,9.0,"['终于看完了这本黄书。西厢记那本黄书先缓缓吧....', '一场盛大的意淫', '回头皆幻景，对面知是谁。', '人文社真是几十年都不换个封面的……', '明显比《长生殿》和《桃花扇》好，不仅仅有爱情和乱世，还有人对于完美的向往。这种向往，只要有人，就有共鸣。《惊梦》与《寻梦》两回，真觉得汤显祖是天才，只可惜后来的情节又落了俗套。如果能停在“怎能够月落重生灯再红”就好了，爱情本来就是一个人的事。']"
荒原狼,荒原狼,9.0,"['这书到现在没敢看完，因为太尼玛共鸣了.......................', '心中激荡，黑塞的话如我自己伤口流出的血和呼喊，脑子嗡嗡直响，几欲泪流···· 故人，敬您一杯', '学会玩这人生游戏，学会笑。', '还是会想起东方的智慧。无论是佛祖的苦行六年菩提悟道，还是老子的青牛出关不争无为，还是庄子的曳尾涂中相忘江湖，同样是面对朝生暮死轮回难绝，面对纷纷扰扰呕哑嘲哳，圣贤的“道”是不着一念无我极乐，而不似荒原狼般的画地为牢作茧自缚。从《悉达多》到《荒原狼》，黑塞的“体验哲学”的缘起、过程和结果都不能令我信服，而且还令我反感，看来是无缘了。', '主人公这种愤世嫉俗又厌世抑郁的知识分子其实内心就是个欠虐的M，本来找个女王好好调教一下也就老实了。结果，好不容易以为找到个女王，没想到揭开真面目一看，靠，居然是个女文青。']"
多情剑客无情剑(上、中、下),多情剑客无情剑(上、中、下),8.7,"['古龙到底遇见过谁家的熊孩子让他这么恨之入骨？一般人是不会塑造出龙小云这么可恨的未成年人的。', '这本书毫无疑问是古龙代表作之一，却也是我最厌恶的古龙作品，把自己的爱人弃如敝屣，当做礼物送来送去的李寻欢却被所有人推崇为讲义气的好朋友，这已经不是一般的崩坏了，在古龙心中，女人只是发泄性欲的工具和友情的注脚而已，这直接导致我每次看到伤痛欲绝，饮酒刻像发展手工业的李探花就觉得恶心，是纯粹为了牌坊的表演，之所以没把这书打到一星是因为李寻欢多恶心，阿飞就有多shine，李寻欢对阿飞仁至义尽，所以阿飞表现的义气显得有血有肉，冷酷的剑法和对林仙儿的痴心也让这个人物显得无比的可爱，傅红雪很多地方都像阿飞，但是天涯明月刀把边城浪子中傅红雪完美形象拖低了，变成了个话痨，而阿飞没有这种缺陷，全书的最后冷淡的告诉林仙儿，我不爱你了，简直让人拊掌叫绝，李寻欢不是传奇，快把孙小红让给阿飞吧坟蛋', '金庸的武侠，眼光在时势，时势推着人物前进，剧情发展。古龙的侠客，眼界在内心，内心的冲突和矛盾决定了人物的行为。金庸的小说场面宏大，众多的人物，各具魅力的招式，畅快的豪情，激烈的打斗，看得人过瘾。古龙这玩意，就像是言情小说，每个人都跟自己较劲，啊我痛苦，但是无可奈何，无可奈何正是痛苦的根源，说白了这体现的就是作者创作时的心情，可以想象得出金庸创作时因为头脑中构思了一幕幕壮阔场景而发亮的眼睛得意的神情，也可以想象得出古龙写小说时那种忧愤痛苦的样子。不是说古龙不好，但是这种寄武侠于内心抑郁的风格，不适合我。', '电视果然没拍出味道来，不过古龙的作品也很难拍出他作品里的味道来。李寻欢充满了悲天悯人的佛性，阿飞有一种来自荒野的纯真，上官金虹带有一种令人敬畏的纯然之恶。最后就是孙小红太棒了！什么“赵敏”、“王语嫣”、“黄蓉”之类的加起来，不如一个孙小红。', '你除了记得主角叫李寻欢还能想起啥情节吗？']"
论语,论语,9.0,"['君子，是能在这个鱼龙混杂人心险恶的社会中生存下来，又保护好自己赤子之心的人', '在那个礼崩乐坏欲望膨胀的时代，孔老先生会被很多人视为【猴子请来的逗比】吧。但其实孔子真的好萌哒XDDD', '洋人对于中国古典哲学的印象，多半(if not全部)来自论语。本是断章取义的语录，却被作为中国人“哲学不求甚解缺乏逻辑性”的尾巴，实在是可笑。且不说“微言大义”以及“中国人才思敏捷”之类自矜的话，他们的东西与其说是逻辑缜密，多半也不过是话比较多而已。和夫子同时的自不必说，哪怕是启蒙运动的各位以及弗洛伊德这个老色狼，逻辑也是满嘴跑火车，碰上孟亚圣荀夫子也就是被吊着打的份。当然了，论语这东西毕竟是断章取义，解读的角度不可谓不多，所以往往解论语的书会比论语本身更好看……', '要背的', '豆瓣小组毁三观，微博愤青加脑残，幸有世间君子道，世道之外躲清闲。']"
社会契约论,社会契约论,8.8,"['道行不够，至多只明白了四五成，但这书让我明白了一点，我们总以为自己了解什么是民主，什么是极权，我们在网上侃侃而谈，指点江山，但是，我们真的像我们自以为那样理解民主么。了解的越深，不知道的越多，发出无知的声音之前，不妨多读读这些书，可以让自己知道自己有多么蠢', '金句太多了，印象最深的是：“人生而自由，却无往不在枷锁之中。自以为能掌控一切的人，却比其他任何人更是奴隶。”', '一周时间 风卷残云地扫完一遍 理论的东西 还有表述的方式都有些生涩 认真读着还是读得下去 不过即使如此所收获的似乎还是蛮浅显 当然 阅读原著的好处在于 每当看到一段时而被引用的话的出处时会一阵惊喜——我果然还是好幼稚好单纯啊。', '都说人生而自由，忘了后半句，但无往不在枷索之中；强调公意，故可解约；否认有普世制度；自然法国家法间推崇前者；推崇斯巴达，认为欧洲最高理想是罗马；提出人民、公民、主权者概念，主权者/政府=政府/国家；对美宪法、列宁专政的影响；说基督教培养奴隶就是尼采的道德谱系，最后一章谈公民宗教简直直接启发了康德实践批判嘛，太牛逼了。', '民主不是最好也不是唯一的政府形式，但这丝毫不是某些事物应该存在的理由']"
当呼吸化为空气,当呼吸化为空气,8.8,"['保罗对生存和死亡的深刻理解、对医生职责非同寻常的定位、以及直面死神降临时表现出的勇气，让他成为一个医者和患者的双重榜样。读的过程中我一次又一次被他的文字深深折服，捧着他妻子露西的后记我泪流满面，在前者身上我感受到深刻，在后者身上我感受到爱。2016读到的最感人的一部作品。ps，十分反感中文版开头的两个序，喧宾夺主，有种马后炮和“感动中国”式的无力感，建议从英文版序言开始读。#10.3万#', '保罗呀，有一天，我要带着这本书来到你的墓前，和你聊一聊，也许你听得见。', '最近总是读关于生死的书，无论死亡是主动选择还是被动接受，最难面对的总是家人，自己反而是最坦然的', '医学与文学的关系一直很紧密。学过医的好作家不少：契诃夫、毛姆、鲁迅……保罗也是其中的杰出代表。如果专职写作，他定会成为很棒的作家。这本书是他的遗作，首先好在文笔和情感，然后才是作者身份的独特性，毕竟医生与患者的双重视角不是每个写作者都能兼具的。这是一本沉甸甸的书，我想但凡读过的人都会有所触动的。', '每个人都做出自己的选择，我们或许帮助他人做出了选择，最终要为自己做出选择，这本书最精彩之处是作者为我们完全展现了一个人的内心选择，而我们最终认为他是对是错，又将是我们的个人选择。']"
一个人的村庄,一个人的村庄,8.9,"['这本书读完以后，忽然想到豆瓣上林先生的一句话：比沉默更沉默，比死更像死。如果有哪本散文从我少年时代一直到成年甚至会到更年长的时候仍然在我的脑海中挥之不去，那一定是这本。还有没有人记得，中学课本上，那篇《寒风吹彻》', '写乡土，却不土气，这就是天赐的才华。通感、灵气、接天达地，漫天的星光。', '看了第一句“一条狗能活到老，真是件不容易的事。太厉害不行，太懦弱不行，不解人意、善解人意了均不行。总之，稍一马虎便会被人剥了皮炖了肉”， 就被击倒了，极好的散文。有些作家用一生都在写同一本书。', '从那个夜晚，我懂得了隐藏温暖——在凛冽的寒风中，身体中那点温暖正步步退守到一个隐秘的连我自己都难以找到的深远处——我把这点隐深的温暖节俭地用于此后多年的爱情和生活。', '光悦推荐的，4-4.5星写的没有一丝城市的烟火气，却让人感动，风格很像张贤亮早期的作品，但是更贴近于自然。作者是个农民，一直在新疆农村，但是说出的话就像一个隐士和哲学家。城市人扫扫浮躁之气的好作品。']"
西方哲学史（上卷）,西方哲学史（上卷）,8.9,"['研究一个哲学家的时候，正确的态度既不是尊崇也不是蔑视，而是应该首先要有一种假设的同情，直到可能知道在他的理论里有些什么东西大概是可以相信的为止；唯有到了这个时候才可以重新采取批判的态度，这种批判的态度应该尽可能地类似于一个人放弃了他所一直坚持的意见之后的那种精神状态。蔑视便妨害了这一过程的前一部分，而尊崇便妨害了这一过程的后一部分。', '我像个白痴一样慢慢翻完了《西方哲学史》的上部，只希望下部里我能读懂的段落比上部多一些。', '人的差别在于业余时间。必须每天抽出几个小时的时间用来阅读、进修、思考或参加有意的演讲、讨论。', '入门的话不看这本比较好', '充满偏见并且琐碎，有哲思但不适合做史']"
别闹了，费曼先生,别闹了，费曼先生,8.9,"['封面选这张照片，你们就以为我不知道费曼是个帅逼了吗！只有一句广告词可以形容：好看得不像实力派。', '多棒的人，一口气读完，最喜欢费曼最后的祝福：因此我只有一个希望：你们能够找到一个地方，在那里自由自在地坚持我提到过的品德；而且不会由于要维持你在组织里的地位，或是迫于经济压力，而丧失你的品德。\r\n我诚心祝福，你们能够获得这样的自由。\r\n', '此书甚好！各种拍桌狂笑以至于桌都快被我拍出窟窿来了！看完觉得浑身带劲，正能量简直要破表了，恨不得现在立刻上房揭瓦！', '起初很多时候觉得费满挺自大的，而我又讨厌自大的人。但是越读越觉得他真的挺可爱的。他从来不是无理取闹，总是有实实在在那种有原则的原因。有能量有活力，好好的物理学家却也开过画展给芭蕾舞表演做过伴奏还参加专业巴西桑巴鼓演奏。去参加研讨会发现语言学领域的专家的报告文章读不懂，后来硬着头皮读发现其实是很简单的东西，只不过把好比“人们通过读书来获取知识”这种简单的语句用各种复杂抽象的词汇偷换表述，搞的高深莫测其实什么内容也没有。被政府搞去评审中小学生的课本，委员会送来300磅重的书他都一页一页的仔细读并且认真批注。一次次挑战政府批文的繁琐真实固执又可敬。他绝对是个老顽童，哦，有次还不小心在日本闯入了汤川秀树的浴室！当然啦，大科学家都多少有点好色嘛。', '漫长旅行中的最大慰藉。']"
老人与海,老人与海,8.4,"['所欲求的是鱼，而得到的却是骨骸。老人得到了马林鱼又因鲨鱼失去了它。这就是生活。功利的人们爱看结果，尽管，结果是悲壮的。读到此间，我有理由相信你我之间分开的悲壮，只是生活。', '“一个人可以被毁灭，但不能给打败。” ', '故事很好，译者文笔不好。。。类似这种经典都该去读原著，读不下去只能说你的英文亟待提高。。。别怪别的，只怪贪玩太多，读书太少。', '圣地亚哥终于梦到了狮子。', '刚重读了一遍。故事很简单，也很警醒，悲壮的硬汉主义色彩。老人八十多天没打到一条鱼，好不容易打到一条大鱼，还被鲨鱼吃掉了，一无所获地回来。很多人追求结果，但假如你失败一次又一次，好不容易成功一次，结果还是失败告终，你还能坚持下去吗？海明威告诉我们：人可以被毁灭，但不可以被打败！——就算一无所获，依然坚持到底。']"
批评官员的尺度,批评官员的尺度,8.9,"[' 若批评不自由，则赞美无意义。', '掩卷略思，仿佛食淮南之橘。该案个中委曲及深远影响，自然毋庸赘言。但这一切建立在如作者在篇尾所说的美国的“乐观主义”之上，亦即官民法的良性互动。而在我朝，看不到如此局面。官对民，民对官与法，都有着近乎完美的道德、素质期待，这种期待如不能实现，则必陷入纷争动乱，将对方和自己分别置于天平的两个极端。', '在大洋彼岸有一帮人，他们希望，表达自由最终能够创造一个更有力的公民社会、更优良的政治制度。他们也相信，对言论自由的任何限制与约束，都与这一目的所依赖的个体尊严与自由选择格格不入。从这个意义上来讲，允许这一自由的存在，或许会导致尘世喧嚣，杂音纷扰，有时会有一些冒犯性的言论，但也只不过是挣扎、争取路上的一点点副作用。 \n正确的结论，往往来自多元化的声音，而不是权威的选择。\n容许空气中充满异议与不和谐的声音，绝非软弱的表现，而是力量的象征！', ' 新瓶装旧酒，跟《言论的边界》有大量重复内容，不过是把重点放在了沙利文一案上，把过去顺序的事情插叙着讲出来。在美国最高法院运作形式上放了大量笔墨，中国人读起来必然隔膜。并不适合像宣传的这样广泛推广，之所以成为畅销书，主要是译者的名气大，加之中文标题讨巧。\n', '真理愈辩愈明。若批评无自由，则赞美无意义。看书过程中既热血沸腾，又失落叹惋。此书深入浅出，引经据典，不仅描述了1960年代《纽约时报》和沙利文局长的诽谤诉讼案经过，更是回溯历史、面向未来，让读者了解言论出版自由在美国的发展过程。并提出问题与思考。让人不得不佩服美国的法律政府相关制度的制衡，与美国最高法院捍卫言论自由的决心。反观国内现状，感慨万千。2011年此书出版时，国内网络和传统媒体的新闻、出版、言论尚未像7年后这般噤若寒蝉。如今南周已死，炎黄被侵，新皇登基，《英烈保护法》出台……再读这本书，更加感觉遥不可及。']"
